id,channelName,likes,url,viewCount,date,numberOfSubscribers,title,commentsCount
GDhymUueiBM,Lenskart,116,https://www.youtube.com/shorts/GDhymUueiBM,6072,2024-03-14T00:00:00.000Z,,Lenskart HOLI SALE Is Here | #Shorts | #Lenskart,3
rEyFidTjGnc,Lenskart,179,https://www.youtube.com/shorts/rEyFidTjGnc,6172,2024-07-28T00:00:00.000Z,,A Day of Using Screen Glasses | #Shorts | #Lenskart,2
s38254RO9PI,Lenskart,186,https://www.youtube.com/shorts/s38254RO9PI,6036,2024-02-25T00:00:00.000Z,,Unboxing The ULTIMATE Kids Superhero Sunglasses | Batman | DC X Lenskart | #Shorts | #Lenskart,6
olHGm-gUAZ8,Lenskart,102,https://www.youtube.com/watch?v=olHGm-gUAZ8,7166,2024-06-18T00:00:00.000Z,272000,The Solution to Screen Time Eye Strain | Lenskart Screen Glasses,11
O327nTCIP_4,Lenskart,138,https://www.youtube.com/shorts/O327nTCIP_4,6256,2024-01-14T00:00:00.000Z,,SAVINGS at the Lenskart Gold Rush Sale | #Shorts | #Lenskart,2
FoSASdfBlsA,Lenskart,78,https://www.youtube.com/shorts/FoSASdfBlsA,6335,2024-02-15T00:00:00.000Z,,3 EASY Outfit Ideas for MEN | #Shorts | #Lenskart,2
w3qMq_oZPVc,Lenskart,106,https://www.youtube.com/shorts/w3qMq_oZPVc,6480,2023-12-10T00:00:00.000Z,,Introducing The New DC Superhero Collection For Kids | #Shorts | #Lenskart,0
zDhT2tYfcLo,Lenskart,87,https://www.youtube.com/shorts/zDhT2tYfcLo,6394,2024-05-25T00:00:00.000Z,,FREE Kids Glasses | #Shorts | #Lenskart,1
8HQW0cNL1P8,Lenskart,141,https://www.youtube.com/shorts/8HQW0cNL1P8,5987,2024-01-01T00:00:00.000Z,,Unboxing Neon Party Glasses | Lenskart Air Electropunk | #Lenskart,2
WDgXpV9ut6M,Lenskart,179,https://www.youtube.com/shorts/WDgXpV9ut6M,6498,2023-12-12T00:00:00.000Z,,Do Eating Carrots Really Improve Your Eyesight? | #Shorts | #Lenskart,2
ppQgLkSQT-M,Enathu Thagaval Ulagam-???? ????? ?????,84,https://www.youtube.com/watch?v=ppQgLkSQT-M,6367,2024-02-27T00:00:00.000Z,12300,????? ????????Glasses ??????? ????????????? Lenskart Free shopping offer | Lenskart BLU Glasses Review,15
Ia8jBjYosJI,Lenskart,321,https://www.youtube.com/shorts/Ia8jBjYosJI,8330,2024-07-27T00:00:00.000Z,,3 Services That Are FREE At The Lenskart Store | #Lenskart,5
GoyzwLJ6IIM,Lenskart,129,https://www.youtube.com/shorts/GoyzwLJ6IIM,6049,2023-12-22T00:00:00.000Z,,Step Out In Style Wearing Lenskart Hustlr Sunglasses | #Shorts | #Lenskart,5
KtnLilbXMTs,Lenskart,168,https://www.youtube.com/shorts/KtnLilbXMTs,6150,2024-07-02T00:00:00.000Z,,The PROS Of Using Lenskart Screen Glasses | #Shorts,2
